model,split,version,true_score,rows,exact_fraction,under_fraction,over_fraction,mean_predicted_score,mean_raw_prediction
small512,selection,B0,1,112,0.4017857142857143,0.0,0.5982142857142857,1.6964285714285714,1.7109723772321428
small512,selection,B0,2,425,0.7176470588235294,0.03529411764705882,0.24705882352941178,2.2211764705882353,2.229659926470588
small512,selection,B0,3,563,0.7229129662522202,0.14742451154529307,0.12966252220248667,2.984014209591474,2.9651559724689167
small512,selection,B0,4,356,0.6151685393258427,0.2949438202247191,0.0898876404494382,3.789325842696629,3.7698384831460676
small512,selection,B0,5,88,0.32954545454545453,0.6704545454545454,0.0,4.284090909090909,4.270063920454546
small512,selection,B0,6,13,0.0,1.0,0.0,4.6923076923076925,4.764423076923077
small512,selection,B1,1,112,0.6517857142857143,0.0,0.3482142857142857,1.4285714285714286,1.7109723772321428
small512,selection,B1,2,425,0.6564705882352941,0.1411764705882353,0.2023529411764706,2.070588235294118,2.229659926470588
small512,selection,B1,3,563,0.6518650088809946,0.18650088809946713,0.16163410301953818,2.9786856127886323,2.9651559724689167
small512,selection,B1,4,356,0.6151685393258427,0.25280898876404495,0.13202247191011235,3.9101123595505616,3.7698384831460676
small512,selection,B1,5,88,0.32954545454545453,0.5795454545454546,0.09090909090909091,4.488636363636363,4.270063920454546
small512,selection,B1,6,13,0.46153846153846156,0.5384615384615384,0.0,5.230769230769231,4.764423076923077
small512,train,B0,1,788,0.434010152284264,0.0,0.565989847715736,1.5964467005076142,1.5824885489340101
small512,train,B0,2,2974,0.7841291190316073,0.01815736381977135,0.1977135171486214,2.1825823806321454,2.1979762104909213
small512,train,B0,3,3940,0.7647208121827411,0.12461928934010152,0.11065989847715736,2.986802030456853,2.957909660532995
small512,train,B0,4,2495,0.6749498997995992,0.2829659318637275,0.04208416833667335,3.7579158316633268,3.7536541833667334
small512,train,B0,5,613,0.49592169657422513,0.5008156606851549,0.0032626427406199023,4.495921696574225,4.454144575856444
small512,train,B0,6,95,0.031578947368421054,0.968421052631579,0.0,4.968421052631579,4.945230263157895
small512,train,B1,1,788,0.7436548223350253,0.0,0.2563451776649746,1.284263959390863,1.5824885489340101
small512,train,B1,2,2974,0.7135171486213854,0.1398789509078682,0.14660390047074648,2.011432414256893,2.1979762104909213
small512,train,B1,3,3940,0.6819796954314721,0.1766497461928934,0.14137055837563453,2.964467005076142,2.957909660532995
small512,train,B1,4,2495,0.7062124248496994,0.21683366733466933,0.07695390781563126,3.8653306613226452,3.7536541833667334
small512,train,B1,5,613,0.3915171288743883,0.40456769983686786,0.2039151712887439,4.794453507340946,4.454144575856444
small512,train,B1,6,95,0.6842105263157895,0.3157894736842105,0.0,5.6421052631578945,4.945230263157895
base512,selection,B0,1,112,0.44642857142857145,0.0,0.5535714285714286,1.6339285714285714,1.6552036830357142
base512,selection,B0,2,425,0.6941176470588235,0.04470588235294118,0.2611764705882353,2.223529411764706,2.252049632352941
base512,selection,B0,3,563,0.6962699822380106,0.0941385435168739,0.20959147424511546,3.133214920071048,3.1230572824156306
base512,selection,B0,4,356,0.6067415730337079,0.17415730337078653,0.21910112359550563,4.053370786516854,4.011060393258427
base512,selection,B0,5,88,0.5,0.4090909090909091,0.09090909090909091,4.670454545454546,4.701526988636363
base512,selection,B0,6,13,0.38461538461538464,0.6153846153846154,0.0,5.384615384615385,5.189903846153846
base512,selection,B1,1,112,0.7142857142857143,0.0,0.2857142857142857,1.3482142857142858,1.6552036830357142
base512,selection,B1,2,425,0.64,0.15058823529411763,0.20941176470588235,2.063529411764706,2.252049632352941
base512,selection,B1,3,563,0.7104795737122558,0.15985790408525755,0.12966252220248667,2.9875666074600353,3.1230572824156306
base512,selection,B1,4,356,0.4438202247191011,0.3146067415730337,0.24157303370786518,3.932584269662921,4.011060393258427
base512,selection,B1,5,88,0.625,0.3409090909090909,0.03409090909090909,4.670454545454546,4.701526988636363
base512,selection,B1,6,13,0.15384615384615385,0.8461538461538461,0.0,5.153846153846154,5.189903846153846
base512,train,B0,1,788,0.7258883248730964,0.0,0.27411167512690354,1.2791878172588833,1.3400172509517767
base512,train,B0,2,2974,0.8268325487558843,0.008742434431741762,0.1644250168123739,2.156691324815064,2.195441219737727
base512,train,B0,3,3940,0.8119289340101523,0.04187817258883249,0.14619289340101524,3.10507614213198,3.1006860723350256
base512,train,B0,4,2495,0.7887775551102204,0.0625250501002004,0.14869739478957916,4.086172344689379,4.074292334669338
base512,train,B0,5,613,0.802610114192496,0.0701468189233279,0.1272430668841762,5.057096247960848,5.07182911908646
base512,train,B0,6,95,0.8736842105263158,0.12631578947368421,0.0,5.863157894736842,5.807894736842106
base512,train,B1,1,788,0.934010152284264,0.0,0.06598984771573604,1.0710659898477157,1.3400172509517767
base512,train,B1,2,2974,0.7861466039004708,0.11802286482851379,0.09583053127101547,1.9781439139206456,2.195441219737727
base512,train,B1,3,3940,0.8512690355329949,0.09543147208121827,0.0532994923857868,2.9578680203045686,3.1006860723350256
base512,train,B1,4,2495,0.6525050100200401,0.17795591182364728,0.1695390781563126,3.9915831663326653,4.074292334669338
base512,train,B1,5,613,0.8792822185970636,0.0636215334420881,0.057096247960848286,4.99184339314845,5.07182911908646
base512,train,B1,6,95,0.6210526315789474,0.37894736842105264,0.0,5.610526315789474,5.807894736842106
base2048,selection,B0,1,112,0.625,0.0,0.375,1.4196428571428572,1.4983607700892858
base2048,selection,B0,2,425,0.72,0.09647058823529411,0.18352941176470589,2.0941176470588236,2.115955882352941
base2048,selection,B0,3,563,0.6802841918294849,0.17406749555950266,0.14564831261101244,2.975133214920071,2.95483181616341
base2048,selection,B0,4,356,0.6292134831460674,0.2612359550561798,0.10955056179775281,3.8398876404494384,3.842257724719101
base2048,selection,B0,5,88,0.6363636363636364,0.3409090909090909,0.022727272727272728,4.659090909090909,4.6901633522727275
base2048,selection,B0,6,13,0.38461538461538464,0.6153846153846154,0.0,5.384615384615385,5.28125
base2048,selection,B1,1,112,0.7232142857142857,0.0,0.2767857142857143,1.3125,1.4983607700892858
base2048,selection,B1,2,425,0.6447058823529411,0.1811764705882353,0.17411764705882352,2.0,2.115955882352941
base2048,selection,B1,3,563,0.6607460035523979,0.19538188277087035,0.1438721136767318,2.946714031971581,2.95483181616341
base2048,selection,B1,4,356,0.6264044943820225,0.2640449438202247,0.10955056179775281,3.837078651685393,3.842257724719101
base2048,selection,B1,5,88,0.5113636363636364,0.3409090909090909,0.14772727272727273,4.784090909090909,4.6901633522727275
base2048,selection,B1,6,13,0.5384615384615384,0.46153846153846156,0.0,5.538461538461538,5.28125
base2048,train,B0,1,788,0.899746192893401,0.0,0.10025380710659898,1.100253807106599,1.1567358026649746
base2048,train,B0,2,2974,0.8960995292535306,0.03160726294552791,0.07229320780094149,2.0413584398117015,2.0339951454270344
base2048,train,B0,3,3940,0.8395939086294416,0.07944162436548223,0.08096446700507615,3.0022842639593907,2.9757059010152282
base2048,train,B0,4,2495,0.8292585170340682,0.11222444889779559,0.05851703406813627,3.9458917835671343,3.913007264529058
base2048,train,B0,5,613,0.8303425774877651,0.14518760195758565,0.024469820554649267,4.876019575856444,4.822721247960848
base2048,train,B0,6,95,0.6736842105263158,0.3263157894736842,0.0,5.673684210526316,5.630263157894737
base2048,train,B1,1,788,0.9670050761421319,0.0,0.03299492385786802,1.032994923857868,1.1567358026649746
base2048,train,B1,2,2974,0.792871553463349,0.14559515803631473,0.06153328850033625,1.9166106254203092,2.0339951454270344
base2048,train,B1,3,3940,0.832741116751269,0.09365482233502538,0.07360406091370558,2.980203045685279,2.9757059010152282
base2048,train,B1,4,2495,0.8212424849699399,0.12024048096192384,0.05851703406813627,3.938677354709419,3.913007264529058
base2048,train,B1,5,613,0.7487765089722676,0.14518760195758565,0.10603588907014681,4.9575856443719415,4.822721247960848
base2048,train,B1,6,95,0.8315789473684211,0.16842105263157894,0.0,5.831578947368421,5.630263157894737
small1024_baseline,selection,B0,1,112,0.5178571428571429,0.0,0.48214285714285715,1.5535714285714286,1.5801478794642858
small1024_baseline,selection,B0,2,425,0.6894117647058824,0.058823529411764705,0.25176470588235295,2.2070588235294117,2.196424632352941
small1024_baseline,selection,B0,3,563,0.6465364120781527,0.1669626998223801,0.18650088809946713,3.019538188277087,3.0339698046181174
small1024_baseline,selection,B0,4,356,0.6095505617977528,0.2247191011235955,0.16573033707865167,3.9353932584269664,3.9157303370786516
small1024_baseline,selection,B0,5,88,0.6136363636363636,0.3068181818181818,0.07954545454545454,4.761363636363637,4.744318181818182
small1024_baseline,selection,B0,6,13,0.6923076923076923,0.3076923076923077,0.0,5.6923076923076925,5.538461538461538
small1024_baseline,selection,B1,1,112,0.6785714285714286,0.0,0.32142857142857145,1.3839285714285714,1.5801478794642858
small1024_baseline,selection,B1,2,425,0.5976470588235294,0.17882352941176471,0.2235294117647059,2.0564705882352943,2.196424632352941
small1024_baseline,selection,B1,3,563,0.6696269982238011,0.18294849023090587,0.14742451154529307,2.960923623445826,3.0339698046181174
small1024_baseline,selection,B1,4,356,0.5758426966292135,0.28370786516853935,0.1404494382022472,3.853932584269663,3.9157303370786516
small1024_baseline,selection,B1,5,88,0.5454545454545454,0.3409090909090909,0.11363636363636363,4.761363636363637,4.744318181818182
small1024_baseline,selection,B1,6,13,0.6923076923076923,0.3076923076923077,0.0,5.6923076923076925,5.538461538461538
small1024_baseline,train,B0,1,788,0.7779187817258884,0.0,0.22208121827411167,1.2258883248730965,1.2925622620558375
small1024_baseline,train,B0,2,2974,0.8644922663080027,0.015131136516476126,0.12037659717552118,2.1069266980497647,2.1181778539004705
small1024_baseline,train,B0,3,3940,0.8139593908629441,0.06751269035532995,0.11852791878172589,3.0525380710659897,3.0504183851522844
small1024_baseline,train,B0,4,2495,0.8356713426853707,0.08496993987975952,0.07935871743486973,3.994789579158317,3.978312875751503
small1024_baseline,train,B0,5,613,0.831973898858075,0.13213703099510604,0.03588907014681892,4.903752039151713,4.888483890701468
small1024_baseline,train,B0,6,95,0.7894736842105263,0.21052631578947367,0.0,5.7894736842105265,5.780263157894737
small1024_baseline,train,B1,1,788,0.9390862944162437,0.0,0.06091370558375635,1.0634517766497462,1.2925622620558375
small1024_baseline,train,B1,2,2974,0.777067921990585,0.12138533960995293,0.101546738399462,1.9811701412239409,2.1181778539004705
small1024_baseline,train,B1,3,3940,0.8401015228426396,0.08350253807106599,0.07639593908629441,2.9931472081218273,3.0504183851522844
small1024_baseline,train,B1,4,2495,0.7963927855711422,0.13787575150300602,0.0657314629258517,3.9286573146292585,3.978312875751503
small1024_baseline,train,B1,5,613,0.7895595432300163,0.14845024469820556,0.06199021207177814,4.9135399673735725,4.888483890701468
small1024_baseline,train,B1,6,95,0.8421052631578947,0.15789473684210525,0.0,5.842105263157895,5.780263157894737
small1024_frozen_mean,selection,B0,1,112,0.5535714285714286,0.0,0.44642857142857145,1.4821428571428572,1.5299246651785714
small1024_frozen_mean,selection,B0,2,425,0.72,0.0611764705882353,0.2188235294117647,2.1670588235294117,2.177858455882353
